"Milk supply and dairy production by dairy factories"
""
"";"Topic"
"";"Milk supply|Volume";"Milk supply|Fat content";"Milk supply|Protein content";"Dairy production|Butter";"Dairy production|Cheese";"Dairy production|Milk powder|Total Milk powder";"Dairy production|Milk powder|Whole milk powder";"Dairy production|Milk powder|Skimmed-milk powder";"Dairy production|Concentrated milk";"Dairy production|Whey powder"
"Periods";"1 000 kg";"%";"%";"1 000 kg";"1 000 kg";"1 000 kg";"1 000 kg";"1 000 kg";"1 000 kg";"1 000 kg"
"2004 May";"933123";"4.35";"3.46";"9229";"57154";"15630";"10330";"5300";"20636";"."
"2004 June";"888247";"4.27";"3.46";"7381";"53608";"14139";"9901";"4238";"25417";"."
"2004 July";"896818";"4.23";"3.44";"7722";"56342";"13129";"9526";"3603";"24009";"."
"2004 August";"881526";"4.19";"3.38";"7321";"53418";"11857";"8736";"3121";"23206";"."
"2004 September";"852279";"4.32";"3.48";"7487";"52666";"10746";"7355";"3391";"24854";"."
"2004 October";"885904";"4.46";"3.58";"7773";"56492";"12041";"8000";"4041";"26553";"."
"2004 November";"850159";"4.54";"3.57";"9306";"54020";"13788";"9348";"4440";"25119";"."
"2004 December";"893568";"4.58";"3.57";"9746";"55462";"16642";"11623";"5019";"19703";"."
"2005 January";"903748";"4.56";"3.52";"12343";"57176";"15950";"10857";"5093";"21350";"."
"2005 February";"814364";"4.56";"3.51";"10105";"52076";"11765";"6899";"4866";"21206";"."
"2005 March";"867684";"4.56";"3.51";"11302";"55400";"15294";"9980";"5314";"19472";"."
"2005 April";"897959";"4.43";"3.45";"10407";"54506";"14506";"9518";"4988";"24358";"."
"2005 May";"916551";"4.34";"3.43";"10218";"55617";"16306";"10075";"6231";"24468";"."
"2005 June";"879730";"4.21";"3.44";"9880";"53008";"13491";"8998";"4493";"25929";"."
"2005 July";"886707";"4.16";"3.41";"9332";"55270";"12431";"8357";"4074";"26673";"."
"2005 August";"873200";"4.21";"3.47";"9362";"57370";"11955";"7715";"4240";"25319";"."
"2005 September";"844583";"4.25";"3.48";"6480";"55900";"10821";"7833";"2988";"25724";"."
"2005 October";"865368";"4.39";"3.55";"8692";"58626";"12664";"8840";"3824";"24775";"."
"2005 November";"831770";"4.47";"3.56";"8559";"56515";"10307";"7729";"2578";"28458";"."
"2005 December";"897236";"4.56";"3.57";"12120";"60736";"14910";"10401";"4509";"24068";"."
"2005";"10478,900";"4.39";"3.49";"118800";"672200";"160400";"107200";"53200";"291800";"68316"
"2006 January";"917593";"4.59";"3.55";"13211";"60737";"15519";"9983";"5536";"25502";"."
"2006 February";"838236";"4.57";"3.53";"12762";"53676";"13415";"8183";"5232";"23312";"."
"2006 March";"915834";"4.58";"3.53";"13422";"58430";"15600";"10322";"5278";"25161";"."
"2006 April";"893601";"4.51";"3.46";"13371";"60033";"14492";"9725";"4767";"25754";"."
"2006 May";"938341";"4.33";"3.43";"12828";"57692";"14529";"9810";"4719";"27142";"."
"2006 June";"894141";"4.21";"3.42";"10665";"58367";"13880";"9366";"4514";"24846";"."
"2006 July";"884641";"4.12";"3.35";"8805";"59830";"11484";"7998";"3486";"26038";"."
"2006 August";"878191";"4.20";"3.41";"8148";"60916";"9915";"6775";"3140";"24337";"."
"2006 September";"841919";"4.28";"3.47";"6138";"58821";"9658";"7584";"2074";"25030";"."
"2006 October";"880013";"4.35";"3.53";"6929";"61645";"10052";"7738";"2314";"27987";"."
"2006 November";"851159";"4.46";"3.57";"7530";"60676";"10623";"7608";"3015";"26068";"."
"2006 December";"922931";"4.48";"3.55";"11291";"63177";"15333";"10508";"4825";"27723";"."
"2007 January";"941646";"4.47";"3.51";"11458";"63747";"14471";"9017";"5454";"27071";"."
"2007 February";"850368";"4.48";"3.50";"11198";"56640";"14684";"10731";"3953";"23456";"."
"2007 March";"933867";"4.46";"3.49";"12035";"63648";"14621";"10328";"4293";"27721";"."
"2007 April";"916428";"4.37";"3.47";"11726";"61132";"14693";"10115";"4578";"25176";"."
"2007 May";"937149";"4.26";"3.46";"11341";"62304";"15256";"11766";"3490";"32120";"."
"2007 June";"876821";"4.18";"3.42";"9972";"56385";"12420";"9132";"3288";"29529";"."
"2007 July";"874295";"4.18";"3.41";"9317";"59789";"10177";"7578";"2599";"27198";"."
"2007 August";"873407";"4.20";"3.45";"9075";"60202";"10551";"8054";"2497";"27216";"."
"2007 September";"842751";"4.32";"3.53";"8069";"59932";"9084";"6571";"2513";"22680";"."
"2007 October";"888288";"4.41";"3.58";"10350";"63067";"10186";"8157";"2029";"28034";"."
"2007 November";"872161";"4.48";"3.59";"10748";"59346";"11775";"8519";"3256";"27406";"."
"2007 December";"929961";"4.50";"3.57";"13909";"64143";"14791";"9874";"4917";"29130";"."
"2008 January";"982854";"4.48";"3.52";"12400";"62708";"15909";"10060";"5849";"30326";"."
"2008 February";"927165";"4.44";"3.50";"12288";"59665";"14520";"9641";"4879";"29392";"."
"2008 March";"971343";"4.49";"3.50";"12299";"62388";"15706";"11147";"4559";"27206";"."
"2008 April";"942305";"4.46";"3.49";"13064";"59601";"16885";"11778";"5107";"28042";"."
"2008 May";"982925";"4.28";"3.44";"10640";"60255";"17279";"12291";"4988";"30930";"."
"2008 June";"930210";"4.20";"3.43";"8093";"57741";"14329";"9392";"4937";"27854";"."
"2008 July";"923852";"4.19";"3.42";"8273";"62562";"11510";"8213";"3297";"28015";"."
"2008 August";"905034";"4.19";"3.43";"9032";"60369";"10310";"7691";"2619";"30247";"."
"2008 September";"898081";"4.28";"3.52";"7483";"59067";"13146";"10527";"2619";"30389";"."
"2008 October";"932447";"4.41";"3.59";"9114";"60714";"16564";"11940";"4624";"23249";"."
"2008 November";"914886";"4.48";"3.59";"9842";"55975";"15806";"10343";"5463";"26683";"."
"2008 December";"983470";"4.52";"3.59";"11782";"60653";"20208";"13918";"6290";"29565";"."
"2009 January";"1004,180";"4.55";"3.56";"12898";"61208";"19447";"12898";"6550";"26444";"."
"2009 February";"917999";"4.52";"3.53";"12257";"55036";"16193";"10175";"6019";"25138";"."
"2009 March";"964132";"4.46";"3.49";"12203";"59796";"18603";"13154";"5449";"25593";"."
"2009 April";"986761";"4.38";"3.46";"11563";"57960";"17682";"11621";"6061";"27937";"."
"2009 May";"1007,598";"4.27";"3.46";"10377";"61005";"19048";"13183";"5865";"30013";"."
"2009 June";"969229";"4.19";"3.45";"9178";"58789";"16760";"11364";"5395";"29208";"."
"2009 July";"957219";"4.17";"3.41";"7620";"59663";"17476";"12165";"5311";"23572";"."
"2009 August";"940254";"4.17";"3.42";"7009";"59743";"16017";"10590";"5427";"23808";"."
"2009 September";"907539";"4.29";"3.50";"6543";"57895";"13291";"10212";"3079";"25116";"."
"2009 October";"930968";"4.42";"3.46";"7055";"61184";"14833";"11101";"3732";"29573";"."
"2009 November";"912316";"4.54";"3.54";"8782";"57045";"14729";"10542";"4187";"28785";"."
"2009 December";"970386";"4.41";"3.40";"11696";"62771";"20064";"13233";"6831";"24578";"."
"2010 January";"983099";"4.57";"3.53";"14355";"63125";"18029";"11763";"6266";"23052";"."
"2010 February";"917294";"4.54";"3.55";"12327";"58847";"16771";"13062";"3710";"24326";"."
"2010 March";"1016,775";"4.55";"3.52";"13506";"64743";"17392";"11319";"6073";"29129";"."
"2010 April";"999853";"4.41";"3.50";"13330";"63321";"16747";"10339";"6409";"26740";"."
"2010 May";"1028,234";"4.34";"3.48";"11972";"65822";"17395";"11105";"6290";"30753";"."
"2010 June";"980834";"4.23";"3.46";"9476";"62379";"16396";"10834";"5562";"31158";"."
"2010 July";"984366";"4.13";"3.38";"9516";"63276";"16166";"11168";"4997";"29713";"."
"2010 August";"973754";"4.21";"3.46";"11463";"62957";"15972";"10947";"5026";"28923";"."
"2010 September";"920678";"4.35";"3.54";"9784";"58583";"16101";"11202";"4899";"30795";"."
"2010 October";"939412";"4.45";"3.60";"8404";"62736";"16460";"11736";"4724";"29767";"."
"2010 November";"918029";"4.56";"3.61";"7644";"62327";"13811";"9825";"3986";"30891";"."
