date,rain,mintp,maxtp,soil,milk,fat,pro,year,month
2014-02-01,8.589285714285714,1.8928571428571428,8.160714285714286,4.714285714285714,214.0,4.11,3.28,2014,February
2014-03-01,3.47741935483871,3.6451612903225805,10.083870967741936,6.90241935483871,470.7,4.08,3.2,2014,March
2014-04-01,3.4866666666666664,6.3566666666666665,12.523333333333333,10.339166666666667,697.0,3.87,3.3,2014,April
2014-05-01,2.2774193548387096,7.616129032258065,14.348387096774195,12.418548387096775,785.5,3.75,3.35,2014,May
2014-06-01,2.856666666666667,10.826666666666666,18.09333333333333,16.890833333333333,732.4,3.73,3.35,2014,June
2014-07-01,1.4064516129032256,12.758064516129032,19.82903225806452,18.45241935483871,688.0,3.82,3.37,2014,July
2014-08-01,2.8483870967741933,10.396774193548387,17.970967741935485,15.90725806451613,608.2,3.97,3.48,2014,August
2014-09-01,0.6566666666666666,11.35,18.166666666666668,15.733333333333333,519.2,4.17,3.67,2014,September
2014-10-01,5.809677419354839,7.932258064516129,14.403225806451612,11.608064516129033,426.3,4.49,3.85,2014,October
2014-11-01,6.4,5.576666666666667,11.156666666666666,8.223333333333333,237.7,4.55,3.72,2014,November
2014-12-01,1.9,3.8225806451612905,8.816129032258065,5.92741935483871,137.6,4.25,3.43,2014,December
2015-01-01,3.7774193548387096,2.3419354838709676,8.374193548387098,5.138709677419354,114.8,4.11,3.27,2015,January
2015-02-01,1.8714285714285714,1.7964285714285713,7.703571428571428,4.623214285714285,215.1,4.15,3.3,2015,February
2015-03-01,2.864516129032258,3.0483870967741935,9.996774193548386,6.757258064516129,454.0,4.06,3.21,2015,March
2015-04-01,0.5333333333333333,4.786666666666666,12.786666666666667,10.514999999999999,784.3,3.82,3.35,2015,April
2015-05-01,4.429032258064517,6.47741935483871,13.654838709677419,12.09274193548387,875.1,3.78,3.45,2015,May
2015-06-01,1.8099999999999998,9.073333333333332,16.933333333333334,15.280000000000001,819.2,3.8,3.45,2015,June
2015-07-01,5.12258064516129,10.45483870967742,16.961290322580645,15.235483870967743,768.9,3.93,3.43,2015,July
2015-08-01,3.261290322580645,10.303225806451612,17.241935483870968,15.047580645161291,693.9,4.04,3.54,2015,August
2015-09-01,3.253333333333333,9.453333333333335,15.463333333333333,13.321666666666665,604.2,4.24,3.74,2015,September
2015-10-01,2.661290322580645,8.27741935483871,13.654838709677419,11.341129032258063,536.3,4.43,3.89,2015,October
2015-11-01,4.6433333333333335,6.746666666666667,12.176666666666668,9.585833333333333,347.9,4.6,3.76,2015,November
2015-12-01,12.974193548387097,5.541935483870968,11.01290322580645,8.41451612903226,181.6,4.37,3.48,2015,December
