,date,milk,fat,pro,butter,cheese,powder tot,powder who,powder skim,con,whey,year,month
298,2019-03-01,1188606.0,4.49,3.59,12514.0,79330.0,20624.0,14859.0,5765.0,33048.0,.,2019,march
299,2019-04-01,1174334.0,4.39,3.59,12336.0,79438.0,20183.0,14028.0,6155.0,32928.0,.,2019,april
300,2019-05-01,1208136.0,4.35,3.58,12139.0,80843.0,21188.0,14095.0,7093.0,32932.0,.,2019,may
301,2019-06-01,1145233.0,4.26,3.51,11849.0,77381.0,21933.0,16528.0,5405.0,32062.0,.,2019,june
302,2019-07-01,1162617.0,4.21,3.44,11553.0,77479.0,20093.0,15030.0,5063.0,32523.0,.,2019,july
303,2019-08-01,1158400.0,4.23,3.46,10293.0,76604.0,20504.0,15374.0,5131.0,31762.0,.,2019,august
304,2019-09-01,1108225.0,4.35,3.56,10444.0,75415.0,19529.0,14873.0,4656.0,32335.0,.,2019,september
305,2019-10-01,1132130.0,4.49,3.63,11124.0,72065.0,19654.0,14565.0,5089.0,32630.0,.,2019,october
306,2019-11-01,1097848.0,4.57,3.73,9650.0,72259.0,19585.0,15230.0,4355.0,32723.0,.,2019,november
307,2019-12-01,1170932.0,4.57,3.65,11964.0,74816.0,23040.0,16003.0,7037.0,31894.0,.,2019,december
309,2020-01-01,1207260.0,4.53,3.6,11216.0,75877.0,23092.0,16601.0,6490.0,40639.0,.,2020,january
310,2020-02-01,1144895.0,4.49,3.59,10808.0,74389.0,24128.0,17015.0,7113.0,29183.0,.,2020,february
311,2020-03-01,1225391.0,4.52,3.59,11810.0,85988.0,21685.0,14707.0,6977.0,33248.0,.,2020,march
312,2020-04-01,1194694.0,4.43,3.6,12043.0,81706.0,22624.0,16447.0,6177.0,32217.0,.,2020,april
313,2020-05-01,1215935.0,4.34,3.58,11544.0,84458.0,22707.0,16749.0,5959.0,32302.0,.,2020,may
314,2020-06-01,1157087.0,4.35,3.53,9904.0,82106.0,18342.0,14793.0,3549.0,34781.0,.,2020,june
315,2020-07-01,1177026.0,4.25,3.51,10047.0,83246.0,18234.0,12171.0,6063.0,33130.0,.,2020,july
316,2020-08-01,1142547.0,4.21,3.47,10859.0,79477.0,19328.0,13204.0,6123.0,32945.0,.,2020,august
317,2020-09-01,1112529.0,4.33,3.57,9660.0,79719.0,17916.0,13488.0,4427.0,30268.0,.,2020,september
318,2020-10-01,1136326.0,4.5,3.64,12289.0,82641.0,20271.0,13148.0,7123.0,32854.0,.,2020,october
319,2020-11-01,1104019.0,4.53,3.65,11292.0,79215.0,18213.0,12811.0,5402.0,33426.0,.,2020,november
320,2020-12-01,1168987.0,4.57,3.65,12134.0,83913.0,21576.0,16472.0,5105.0,28860.0,.,2020,december
322,2021-01-01,1187954.0,4.58,3.65,13174.0,83896.0,18373.0,10564.0,7809.0,35531.0,.,2021,january
323,2021-02-01,1081786.0,4.6,3.64,11569.0,74545.0,16727.0,9986.0,6741.0,33323.0,.,2021,february
324,2021-03-01,1214580.0,4.57,3.62,13382.0,84301.0,18116.0,10903.0,7213.0,31265.0,.,2021,march
325,2021-04-01,1182600.0,4.53,3.63,13483.0,83103.0,21812.0,12122.0,9690.0,33365.0,.,2021,april
326,2021-05-01,1213255.0,4.41,3.57,11662.0,83837.0,21293.0,11185.0,10108.0,33342.0,.,2021,may
327,2021-06-01,1128189.0,4.27,3.5,10155.0,77184.0,19595.0,11106.0,8489.0,32927.0,.,2021,june
328,2021-07-01,1138410.0,4.23,3.48,11228.0,76976.0,17807.0,11020.0,6787.0,32571.0,.,2021,july
329,2021-08-01,1123391.0,4.29,3.51,10956.0,76877.0,17480.0,11897.0,5583.0,32654.0,.,2021,august
330,2021-09-01,1064517.0,4.34,3.67,9105.0,74810.0,14309.0,7917.0,6392.0,31881.0,.,2021,september
331,2021-10-01,1087524.0,4.47,3.6,11243.0,77558.0,13688.0,8143.0,5545.0,31831.0,.,2021,october
332,2021-11-01,1059600.0,4.53,3.6,9579.0,75359.0,14187.0,5727.0,8460.0,31664.0,.,2021,november
333,2021-12-01,1121498.0,4.56,3.59,11967.0,78314.0,15751.0,7582.0,8169.0,31290.0,.,2021,december
335,2022-01-01,1157925.0,4.53,3.57,11895.0,78898.0,16204.0,7489.0,8715.0,32113.0,.,2022,january
336,2022-02-01,1067665.0,4.51,3.57,11825.0,73682.0,15195.0,7153.0,8042.0,31587.0,.,2022,february
337,2022-03-01,1187383.0,4.52,3.57,11911.0,79354.0,17082.0,7943.0,9139.0,32598.0,.,2022,march
338,2022-04-01,1154138.0,4.47,3.54,12456.0,79752.0,17388.0,8149.0,9239.0,31945.0,.,2022,april
339,2022-05-01,1206816.0,4.34,3.52,14109.0,81443.0,19391.0,9568.0,9823.0,32212.0,.,2022,may
340,2022-06-01,1148199.0,4.25,3.48,11632.0,79422.0,19407.0,8906.0,10501.0,31354.0,.,2022,june
341,2022-07-01,1164104.0,4.2,3.45,12302.0,79107.0,18633.0,8328.0,10305.0,31446.0,.,2022,july
342,2022-08-01,1147712.0,4.21,3.46,11951.0,77360.0,16044.0,6365.0,9679.0,31548.0,.,2022,august
343,2022-09-01,1105982.0,4.36,3.53,11705.0,76128.0,14847.0,6043.0,8804.0,31371.0,.,2022,september
344,2022-10-01,1139853.0,4.49,3.63,12947.0,60315.0,16640.0,6263.0,10377.0,31192.0,.,2022,october
