"STATISTIC","STATISTIC Label","TLIST(M1)","Month","C02136V02577","Product","UNIT","VALUE"
"AJM07","Manufacturing Milk Prices (including VAT)","200808","2008 August","1","Milk (per litre), actual fat and protein","Euro","0.324"
"AJM07","Manufacturing Milk Prices (including VAT)","200808","2008 August","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.317"
"AJM07","Manufacturing Milk Prices (including VAT)","200809","2008 September","1","Milk (per litre), actual fat and protein","Euro","0.324"
"AJM07","Manufacturing Milk Prices (including VAT)","200809","2008 September","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.308"
"AJM07","Manufacturing Milk Prices (including VAT)","200810","2008 October","1","Milk (per litre), actual fat and protein","Euro","0.336"
"AJM07","Manufacturing Milk Prices (including VAT)","200810","2008 October","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.309"
"AJM07","Manufacturing Milk Prices (including VAT)","200811","2008 November","1","Milk (per litre), actual fat and protein","Euro","0.33"
"AJM07","Manufacturing Milk Prices (including VAT)","200811","2008 November","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.303"
"AJM07","Manufacturing Milk Prices (including VAT)","200812","2008 December","1","Milk (per litre), actual fat and protein","Euro","0.319"
"AJM07","Manufacturing Milk Prices (including VAT)","200812","2008 December","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.304"
"AJM07","Manufacturing Milk Prices (including VAT)","200901","2009 January","1","Milk (per litre), actual fat and protein","Euro","0.288"
"AJM07","Manufacturing Milk Prices (including VAT)","200901","2009 January","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.277"
"AJM07","Manufacturing Milk Prices (including VAT)","200902","2009 February","1","Milk (per litre), actual fat and protein","Euro","0.264"
"AJM07","Manufacturing Milk Prices (including VAT)","200902","2009 February","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.257"
"AJM07","Manufacturing Milk Prices (including VAT)","200903","2009 March","1","Milk (per litre), actual fat and protein","Euro","0.219"
"AJM07","Manufacturing Milk Prices (including VAT)","200903","2009 March","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.216"
"AJM07","Manufacturing Milk Prices (including VAT)","200904","2009 April","1","Milk (per litre), actual fat and protein","Euro","0.218"
"AJM07","Manufacturing Milk Prices (including VAT)","200904","2009 April","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.219"
"AJM07","Manufacturing Milk Prices (including VAT)","200905","2009 May","1","Milk (per litre), actual fat and protein","Euro","0.216"
"AJM07","Manufacturing Milk Prices (including VAT)","200905","2009 May","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.217"
"AJM07","Manufacturing Milk Prices (including VAT)","200906","2009 June","1","Milk (per litre), actual fat and protein","Euro","0.212"
"AJM07","Manufacturing Milk Prices (including VAT)","200906","2009 June","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.214"
"AJM07","Manufacturing Milk Prices (including VAT)","200907","2009 July","1","Milk (per litre), actual fat and protein","Euro","0.214"
"AJM07","Manufacturing Milk Prices (including VAT)","200907","2009 July","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.214"
"AJM07","Manufacturing Milk Prices (including VAT)","200908","2009 August","1","Milk (per litre), actual fat and protein","Euro","0.221"
"AJM07","Manufacturing Milk Prices (including VAT)","200908","2009 August","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.217"
"AJM07","Manufacturing Milk Prices (including VAT)","200909","2009 September","1","Milk (per litre), actual fat and protein","Euro","0.249"
"AJM07","Manufacturing Milk Prices (including VAT)","200909","2009 September","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.236"
"AJM07","Manufacturing Milk Prices (including VAT)","200910","2009 October","1","Milk (per litre), actual fat and protein","Euro","0.279"
"AJM07","Manufacturing Milk Prices (including VAT)","200910","2009 October","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.261"
"AJM07","Manufacturing Milk Prices (including VAT)","200911","2009 November","1","Milk (per litre), actual fat and protein","Euro","0.295"
"AJM07","Manufacturing Milk Prices (including VAT)","200911","2009 November","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.274"
